2025-02-27 20:10:57,690 [ERROR]  139 произошла ошибка Expecting value: line 1 column 1 (char 0)
2025-02-27 20:36:11,654 [INFO]  103 0, how
2025-02-27 20:36:12,670 [INFO]  103 0, how
2025-02-27 20:36:13,686 [INFO]  103 0, how
2025-02-27 20:36:50,347 [INFO]  17 Приложение запущено
2025-02-27 20:36:50,694 [INFO]  145 файл успешно прочитан
2025-02-27 20:36:50,694 [INFO]  60 100.
2025-02-27 20:36:51,696 [INFO]  104 0, how
2025-02-27 20:36:52,714 [INFO]  104 0, how
2025-02-27 20:36:53,728 [INFO]  104 0, how
2025-02-27 20:36:54,742 [INFO]  104 0, how
2025-02-27 20:36:55,757 [INFO]  104 0, how
2025-02-27 20:36:56,774 [INFO]  104 0, how
2025-02-27 20:44:58,042 [INFO]  17 Приложение запущено
2025-02-27 20:44:58,716 [INFO]  145 файл успешно прочитан
2025-02-27 20:44:59,722 [INFO]  100 100
2025-02-27 20:44:59,722 [INFO]  104 0, how
2025-02-27 20:45:00,739 [INFO]  100 0
2025-02-27 20:45:00,739 [INFO]  104 0, how
2025-02-27 20:45:01,754 [INFO]  100 0
2025-02-27 20:45:01,754 [INFO]  104 0, how
2025-02-27 20:45:02,766 [INFO]  100 0
2025-02-27 20:45:02,766 [INFO]  104 0, how
2025-02-27 20:45:03,781 [INFO]  100 0
2025-02-27 20:45:03,781 [INFO]  104 0, how
2025-02-27 20:45:04,798 [INFO]  100 0
2025-02-27 20:45:04,798 [INFO]  104 0, how
2025-02-27 20:45:05,816 [INFO]  100 0
2025-02-27 20:45:05,816 [INFO]  104 0, how
2025-02-27 20:45:06,834 [INFO]  100 0
2025-02-27 20:45:06,834 [INFO]  104 0, how
2025-02-27 20:45:07,851 [INFO]  100 0
2025-02-27 20:45:07,851 [INFO]  104 0, how
2025-02-27 20:45:08,868 [INFO]  100 0
2025-02-27 20:45:08,868 [INFO]  104 0, how
2025-02-27 20:45:09,880 [INFO]  100 0
2025-02-27 20:45:09,880 [INFO]  104 0, how
2025-02-27 20:45:10,898 [INFO]  100 0
2025-02-27 20:45:10,898 [INFO]  104 0, how
2025-02-27 20:45:11,915 [INFO]  100 0
2025-02-27 20:45:11,916 [INFO]  104 0, how
2025-02-27 20:45:12,933 [INFO]  100 0
2025-02-27 20:45:12,933 [INFO]  104 0, how
2025-02-27 20:45:13,951 [INFO]  100 0
2025-02-27 20:45:13,951 [INFO]  104 0, how
2025-02-27 20:45:14,970 [INFO]  100 0
2025-02-27 20:45:14,970 [INFO]  104 0, how
2025-02-27 20:48:08,364 [INFO]  17 Приложение запущено
2025-02-27 20:48:09,022 [INFO]  146 файл успешно прочитан
2025-02-27 20:48:09,023 [INFO]  59 100
2025-02-27 20:48:09,025 [INFO]  84 100
2025-02-27 20:48:09,033 [INFO]  84 100
2025-02-27 20:48:09,043 [INFO]  84 100
2025-02-27 20:48:09,053 [INFO]  84 100
2025-02-27 20:48:09,063 [INFO]  84 100
2025-02-27 20:48:09,073 [INFO]  84 100
2025-02-27 20:48:09,083 [INFO]  84 100
2025-02-27 20:48:09,093 [INFO]  84 100
2025-02-27 20:48:09,103 [INFO]  84 100
2025-02-27 20:48:09,113 [INFO]  84 100
2025-02-27 20:48:09,123 [INFO]  84 100
2025-02-27 20:48:09,132 [INFO]  84 100
2025-02-27 20:48:09,142 [INFO]  84 100
2025-02-27 20:48:09,152 [INFO]  84 100
2025-02-27 20:48:09,163 [INFO]  84 100
2025-02-27 20:48:09,173 [INFO]  84 100
2025-02-27 20:48:09,183 [INFO]  84 100
2025-02-27 20:48:09,193 [INFO]  84 100
2025-02-27 20:48:09,203 [INFO]  84 100
2025-02-27 20:48:09,213 [INFO]  84 100
2025-02-27 20:48:09,222 [INFO]  84 100
2025-02-27 20:48:09,232 [INFO]  84 100
2025-02-27 20:48:09,242 [INFO]  84 100
2025-02-27 20:48:09,252 [INFO]  84 100
2025-02-27 20:48:09,262 [INFO]  84 100
2025-02-27 20:48:09,273 [INFO]  84 100
2025-02-27 20:48:09,283 [INFO]  84 100
2025-02-27 20:48:09,293 [INFO]  84 100
2025-02-27 20:48:09,303 [INFO]  84 100
2025-02-27 20:48:09,313 [INFO]  84 100
2025-02-27 20:48:09,323 [INFO]  84 100
2025-02-27 20:48:09,333 [INFO]  84 100
2025-02-27 20:48:09,343 [INFO]  84 100
2025-02-27 20:48:09,353 [INFO]  84 100
2025-02-27 20:48:09,363 [INFO]  84 100
2025-02-27 20:48:09,373 [INFO]  84 100
2025-02-27 20:48:09,383 [INFO]  84 100
2025-02-27 20:48:09,394 [INFO]  84 100
2025-02-27 20:48:09,404 [INFO]  84 100
2025-02-27 20:48:09,414 [INFO]  84 100
2025-02-27 20:48:09,424 [INFO]  84 100
2025-02-27 20:48:09,434 [INFO]  84 100
2025-02-27 20:48:09,444 [INFO]  84 100
2025-02-27 20:48:09,453 [INFO]  84 100
2025-02-27 20:48:09,463 [INFO]  84 100
2025-02-27 20:48:09,473 [INFO]  84 100
2025-02-27 20:48:09,484 [INFO]  84 100
2025-02-27 20:48:09,494 [INFO]  84 100
2025-02-27 20:48:09,506 [INFO]  84 100
2025-02-27 20:48:09,514 [INFO]  84 100
2025-02-27 20:48:09,524 [INFO]  84 100
2025-02-27 20:48:09,533 [INFO]  84 100
2025-02-27 20:48:09,544 [INFO]  84 100
2025-02-27 20:48:09,554 [INFO]  84 100
2025-02-27 20:48:09,564 [INFO]  84 100
2025-02-27 20:48:09,574 [INFO]  84 100
2025-02-27 20:48:09,584 [INFO]  84 100
2025-02-27 20:48:09,593 [INFO]  84 100
2025-02-27 20:48:09,603 [INFO]  84 100
2025-02-27 20:48:09,614 [INFO]  84 100
2025-02-27 20:48:09,624 [INFO]  84 100
2025-02-27 20:48:09,634 [INFO]  84 100
2025-02-27 20:48:09,644 [INFO]  84 100
2025-02-27 20:48:09,654 [INFO]  84 100
2025-02-27 20:48:09,664 [INFO]  84 100
2025-02-27 20:48:09,674 [INFO]  84 100
2025-02-27 20:48:09,684 [INFO]  84 100
2025-02-27 20:48:09,693 [INFO]  84 100
2025-02-27 20:48:09,703 [INFO]  84 100
2025-02-27 20:48:09,714 [INFO]  84 100
2025-02-27 20:48:09,724 [INFO]  84 100
2025-02-27 20:48:09,734 [INFO]  84 100
2025-02-27 20:48:09,744 [INFO]  84 100
2025-02-27 20:48:09,754 [INFO]  84 100
2025-02-27 20:48:09,764 [INFO]  84 100
2025-02-27 20:48:09,774 [INFO]  84 100
2025-02-27 20:48:09,784 [INFO]  84 100
2025-02-27 20:48:09,795 [INFO]  84 100
2025-02-27 20:48:09,805 [INFO]  84 100
2025-02-27 20:48:09,815 [INFO]  84 100
2025-02-27 20:48:09,825 [INFO]  84 100
2025-02-27 20:48:09,835 [INFO]  84 100
2025-02-27 20:48:09,845 [INFO]  84 100
2025-02-27 20:48:09,855 [INFO]  84 100
2025-02-27 20:48:09,865 [INFO]  84 100
2025-02-27 20:48:09,875 [INFO]  84 100
2025-02-27 20:48:09,884 [INFO]  84 100
2025-02-27 20:48:09,894 [INFO]  84 100
2025-02-27 20:48:09,904 [INFO]  84 100
2025-02-27 20:48:09,915 [INFO]  84 100
2025-02-27 20:48:09,925 [INFO]  84 100
2025-02-27 20:48:09,935 [INFO]  84 100
2025-02-27 20:48:09,945 [INFO]  84 100
2025-02-27 20:48:09,955 [INFO]  84 100
2025-02-27 20:48:09,965 [INFO]  84 100
2025-02-27 20:48:09,975 [INFO]  84 100
2025-02-27 20:48:09,985 [INFO]  84 100
2025-02-27 20:48:09,995 [INFO]  84 100
2025-02-27 20:48:10,006 [INFO]  84 100
2025-02-27 20:48:10,016 [INFO]  84 100
2025-02-27 20:48:10,026 [INFO]  101 100
2025-02-27 20:48:10,026 [INFO]  105 0, how
2025-02-27 20:48:10,026 [INFO]  84 0
2025-02-27 20:48:10,036 [INFO]  84 0
2025-02-27 20:48:10,046 [INFO]  84 0
2025-02-27 20:48:10,056 [INFO]  84 0
2025-02-27 20:48:10,066 [INFO]  84 0
2025-02-27 20:48:10,076 [INFO]  84 0
2025-02-27 20:48:10,086 [INFO]  84 0
2025-02-27 20:48:10,096 [INFO]  84 0
2025-02-27 20:48:10,106 [INFO]  84 0
2025-02-27 20:48:10,117 [INFO]  84 0
2025-02-27 20:48:10,126 [INFO]  84 0
2025-02-27 20:48:10,137 [INFO]  84 0
2025-02-27 20:48:10,147 [INFO]  84 0
2025-02-27 20:48:10,157 [INFO]  84 0
2025-02-27 20:48:10,167 [INFO]  84 0
2025-02-27 20:48:10,177 [INFO]  84 0
2025-02-27 20:48:10,187 [INFO]  84 0
2025-02-27 20:48:10,197 [INFO]  84 0
2025-02-27 20:48:10,207 [INFO]  84 0
2025-02-27 20:48:10,217 [INFO]  84 0
2025-02-27 20:48:10,227 [INFO]  84 0
2025-02-27 20:48:10,236 [INFO]  84 0
2025-02-27 20:48:10,246 [INFO]  84 0
2025-02-27 20:48:10,257 [INFO]  84 0
2025-02-27 20:48:10,267 [INFO]  84 0
2025-02-27 20:48:10,277 [INFO]  84 0
2025-02-27 20:48:10,287 [INFO]  84 0
2025-02-27 20:48:10,297 [INFO]  84 0
2025-02-27 20:48:10,307 [INFO]  84 0
2025-02-27 20:48:10,317 [INFO]  84 0
2025-02-27 20:48:10,327 [INFO]  84 0
2025-02-27 20:48:10,336 [INFO]  84 0
2025-02-27 20:48:10,346 [INFO]  84 0
2025-02-27 20:48:10,356 [INFO]  84 0
2025-02-27 20:48:10,367 [INFO]  84 0
2025-02-27 20:48:10,378 [INFO]  84 0
2025-02-27 20:48:10,388 [INFO]  84 0
2025-02-27 20:48:10,398 [INFO]  84 0
2025-02-27 20:48:10,408 [INFO]  84 0
2025-02-27 20:48:10,418 [INFO]  84 0
2025-02-27 20:48:10,428 [INFO]  84 0
2025-02-27 20:48:10,438 [INFO]  84 0
2025-02-27 20:48:10,447 [INFO]  84 0
2025-02-27 20:48:10,457 [INFO]  84 0
2025-02-27 20:48:10,468 [INFO]  84 0
2025-02-27 20:48:10,478 [INFO]  84 0
2025-02-27 20:48:10,488 [INFO]  84 0
2025-02-27 20:48:10,498 [INFO]  84 0
2025-02-27 20:48:10,508 [INFO]  84 0
2025-02-27 20:48:10,518 [INFO]  84 0
2025-02-27 20:48:10,528 [INFO]  84 0
2025-02-27 20:48:10,538 [INFO]  84 0
2025-02-27 20:48:10,548 [INFO]  84 0
2025-02-27 20:48:10,558 [INFO]  84 0
2025-02-27 20:48:10,569 [INFO]  84 0
2025-02-27 20:48:10,579 [INFO]  84 0
2025-02-27 20:48:10,589 [INFO]  84 0
2025-02-27 20:48:10,599 [INFO]  84 0
2025-02-27 20:48:10,609 [INFO]  84 0
2025-02-27 20:48:10,619 [INFO]  84 0
2025-02-27 20:48:10,628 [INFO]  84 0
2025-02-27 20:48:10,638 [INFO]  84 0
2025-02-27 20:48:10,649 [INFO]  84 0
2025-02-27 20:48:10,659 [INFO]  84 0
2025-02-27 20:48:10,669 [INFO]  84 0
2025-02-27 20:48:10,679 [INFO]  84 0
2025-02-27 20:48:10,689 [INFO]  84 0
2025-02-27 20:48:10,699 [INFO]  84 0
2025-02-27 20:48:10,709 [INFO]  84 0
2025-02-27 20:48:10,718 [INFO]  84 0
2025-02-27 20:48:10,728 [INFO]  84 0
2025-02-27 20:48:10,738 [INFO]  84 0
2025-02-27 20:48:10,749 [INFO]  84 0
2025-02-27 20:48:10,759 [INFO]  84 0
2025-02-27 20:48:10,769 [INFO]  84 0
2025-02-27 20:48:10,779 [INFO]  84 0
2025-02-27 20:48:10,789 [INFO]  84 0
2025-02-27 20:48:10,799 [INFO]  84 0
2025-02-27 20:48:10,809 [INFO]  84 0
2025-02-27 20:48:10,819 [INFO]  84 0
2025-02-27 20:48:10,830 [INFO]  84 0
2025-02-27 20:48:10,840 [INFO]  84 0
2025-02-27 20:48:10,850 [INFO]  84 0
2025-02-27 20:48:10,860 [INFO]  84 0
2025-02-27 20:48:10,870 [INFO]  84 0
2025-02-27 20:48:10,880 [INFO]  84 0
2025-02-27 20:48:10,889 [INFO]  84 0
2025-02-27 20:48:10,899 [INFO]  84 0
2025-02-27 20:48:10,910 [INFO]  84 0
2025-02-27 20:48:10,920 [INFO]  84 0
2025-02-27 20:48:10,930 [INFO]  84 0
2025-02-27 20:48:10,940 [INFO]  84 0
2025-02-27 20:48:10,950 [INFO]  84 0
2025-02-27 20:48:10,960 [INFO]  84 0
2025-02-27 20:48:10,970 [INFO]  84 0
2025-02-27 20:48:10,980 [INFO]  84 0
2025-02-27 20:48:10,990 [INFO]  84 0
2025-02-27 20:48:11,000 [INFO]  84 0
2025-02-27 20:48:11,011 [INFO]  84 0
2025-02-27 20:48:11,021 [INFO]  84 0
2025-02-27 20:48:11,032 [INFO]  84 0
2025-02-27 20:48:11,041 [INFO]  101 0
2025-02-27 20:48:11,041 [INFO]  105 0, how
2025-02-27 20:48:11,041 [INFO]  84 0
2025-02-27 20:48:11,051 [INFO]  84 0
2025-02-27 20:48:11,062 [INFO]  84 0
2025-02-27 20:48:11,072 [INFO]  84 0
2025-02-27 20:48:11,082 [INFO]  84 0
2025-02-27 20:48:11,092 [INFO]  84 0
2025-02-27 20:48:11,102 [INFO]  84 0
2025-02-27 20:48:11,112 [INFO]  84 0
2025-02-27 20:48:11,121 [INFO]  84 0
2025-02-27 20:48:11,131 [INFO]  84 0
2025-02-27 20:48:11,142 [INFO]  84 0
2025-02-27 20:48:11,152 [INFO]  84 0
2025-02-27 20:48:11,162 [INFO]  84 0
2025-02-27 20:48:11,172 [INFO]  84 0
2025-02-27 20:48:11,182 [INFO]  84 0
2025-02-27 20:48:11,192 [INFO]  84 0
2025-02-27 20:48:11,202 [INFO]  84 0
2025-02-27 20:48:11,212 [INFO]  84 0
2025-02-27 20:48:11,222 [INFO]  84 0
2025-02-27 20:48:11,232 [INFO]  84 0
